file,fn_src,ymd,index,area_sqm,area_type,component_cd,contract_dt,create_dt,dealing_no,district_code,house_no,locality,postcode,prop_name,prop_nature,prop_purpose,property_id,record_type,sale_cd,sale_counter,sale_interest,sale_price,settle_dt,strata_no,street_name,unit_no,zoning
081_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,142,700.0,M,RHM,20160414.0,20160606 01:24,AK467924,81,32,ROUSE HILL,2155.0,,R,RESIDENCE,603514.0,B,,29,0.0,1080000,20160518.0,,MILFORD DR,,R3
081_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,154,1052.0,M,AZZ,20160225.0,20160606 01:24,AK470188,81,43,ROUSE HILL,2155.0,,R,RESIDENCE,603733.0,B,,31,0.0,1145000,20160428.0,,MINDARIBBA AVE,,R2
081_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,214,510.0,M,AZZ,20160408.0,20160606 01:24,AK469746,81,15,ROUSE HILL,2155.0,,R,RESIDENCE,623666.0,B,,42,0.0,895000,20160518.0,,WEEROONA PL,,R2
081_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,273,188.4,M,KEM,20160407.0,20160606 01:24,AK468400,81,46,KELLYVILLE,2155.0,,R,RESIDENCE,3776818.0,B,,55,0.0,785000,20160519.0,,GRACE CRES,,R3
081_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,323,700.8,M,BRA,20160304.0,20160606 01:24,AK458524,81,64,KELLYVILLE,2155.0,,R,RESIDENCE,3926663.0,B,,65,0.0,920000,20160518.0,,WATER CREEK BVD,,R2
088_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,119,106.0,M,,20160209.0,20160606 01:25,AK407612,88,545,ST LEONARDS,2065.0,,R,RESIDENCE,3799762.0,B,,24,0.0,240000,20160209.0,26.0,PACIFIC HWY,26,
088_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,124,130.0,M,,20160419.0,20160606 01:25,AK468329,88,38,ST LEONARDS,2065.0,,R,RESIDENCE,3880554.0,B,,25,0.0,1240000,20160519.0,79.0,ATCHISON ST,1503,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,153,,,,20160301.0,20160606 01:25,AK470130,89,2,PARRAMATTA,2150.0,,R,RESIDENCE,842847.0,B,,31,0.0,450000,20160506.0,5.0,PITT ST,5,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,157,,,,20160301.0,20160606 01:25,AK470130,89,2,PARRAMATTA,2150.0,,R,RESIDENCE,842847.0,B,,32,0.0,450000,20160506.0,30.0,PITT ST,5,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,166,,,,20160406.0,20160606 01:25,AK461805,89,17,PARRAMATTA,2150.0,,R,RESIDENCE,3391165.0,B,,34,0.0,643000,20160518.0,3.0,HASSALL ST,3,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,251,,,,20160404.0,20160606 01:25,AK456018,89,78,PARRAMATTA,2150.0,,R,RESIDENCE,854421.0,B,,50,0.0,500000,20160516.0,25.0,GREAT WESTERN HWY,25,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,255,,,,20160322.0,20160606 01:25,AK461756,89,68,PARRAMATTA,2150.0,,R,RESIDENCE,854554.0,B,,51,0.0,520000,20160517.0,14.0,GREAT WESTERN HWY,14,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,265,,,,20160314.0,20160606 01:25,AK471942,89,32,PARRAMATTA,2150.0,,R,RESIDENCE,3000848.0,B,,53,0.0,644000,20160509.0,18.0,HASSALL ST,18,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,275,,,,20160415.0,20160606 01:25,AK478037,89,12,WESTMEAD,2145.0,,R,RESIDENCE,3593250.0,B,,55,0.0,570000,20160525.0,1.0,LYDBROOK ST,1,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,327,,,,20160402.0,20160606 01:25,AK469658,89,88,PARRAMATTA,2150.0,,R,RESIDENCE,3225001.0,B,,64,0.0,776800,20160523.0,100.0,MARSDEN ST,1 E,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,352,,,,20160518.0,20160606 01:25,AK471302,89,140,PARRAMATTA,2150.0,,R,RESIDENCE,3308013.0,B,,69,0.0,670000,20160520.0,29.0,CHURCH ST,901,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,357,118.0,M,,20160326.0,20160606 01:25,AK470093,89,24,WESTMEAD,2145.0,,R,RESIDENCE,3795594.0,B,,70,0.0,610000,20160523.0,69.0,MONS RD,69,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,362,107.0,M,,20160412.0,20160606 01:25,AK475625,89,24,WESTMEAD,2145.0,,R,RESIDENCE,3795594.0,B,,71,0.0,600000,20160524.0,72.0,MONS RD,72,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,372,,,,20160331.0,20160606 01:25,AK468799,89,109,PARRAMATTA,2150.0,,R,RESIDENCE,3881144.0,B,,73,0.0,855000,20160506.0,212.0,GEORGE ST,250,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,49,,,,20160401.0,20160606 01:25,AK467148,89,18,PARRAMATTA,2150.0,,R,RESIDENCE,826330.0,B,,10,0.0,522000,20160519.0,11.0,HAROLD ST,11,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,514,,,,20160220.0,20160606 01:25,AK467385,89,3,PARRAMATTA,2150.0,,R,RESIDENCE,3923301.0,B,,105,0.0,489000,20160519.0,77.0,BROUGHTON ST,203 B,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,522,,,,20160429.0,20160606 01:25,AK472261,89,3,PARRAMATTA,2150.0,,R,RESIDENCE,3923301.0,B,,107,0.0,568000,20160513.0,83.0,BROUGHTON ST,301 B,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,610,,,,20160311.0,20160606 01:25,AK477771,89,3,PARRAMATTA,2150.0,,R,RESIDENCE,3923301.0,B,,128,0.0,685000,20160525.0,165.0,BROUGHTON ST,302 C,
089_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,738,,,,20160410.0,20160606 01:25,AK469714,89,3,PARRAMATTA,2150.0,,R,RESIDENCE,3923301.0,B,,157,0.0,1069000,20160520.0,274.0,BROUGHTON ST,1204 C,
090_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,157,,,,20160201.0,20160606 01:26,AK466478,90,2,MACQUARIE PARK,2113.0,,R,RESIDENCE,3745928.0,B,,32,0.0,610000,20160525.0,89.0,SAUNDERS CL,808,
092_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,28,601.04,M,RAC,20160419.0,20160606 01:26,AK471197,92,74,CHATSWOOD,2067.0,,R,RESIDENCE,950794.0,B,,7,0.0,2850000,20160520.0,,ASHLEY ST,,R2
092_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,64,429.09,M,RAC,20160211.0,20160606 01:26,AK475082,92,58,CHATSWOOD,2067.0,,R,RESIDENCE,966159.0,B,,14,0.0,3450000,20160518.0,,NICHOLSON ST,,R2
092_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,68,,,,20160411.0,20160606 01:26,AK460730,92,209,CHATSWOOD,2067.0,,R,RESIDENCE,973913.0,B,,15,0.0,750000,20160523.0,2.0,VICTORIA AVE,2,
092_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,97,88.0,M,,20160419.0,20160606 01:26,AK476380,92,7,CHATSWOOD,2067.0,,R,RESIDENCE,3748624.0,B,,21,0.0,896000,20160524.0,276.0,RAILWAY ST,5002,
103_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,123,,,,20160407.0,20160606 01:27,AK470661,103,22,WOLLONGONG,2500.0,,R,RESIDENCE,3139201.0,B,,25,0.0,500000,20160519.0,5.0,VICTORIA ST,5,
103_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,134,,,,20160406.0,20160606 01:27,AK475458,103,23,WOLLONGONG,2500.0,,R,RESIDENCE,3200433.0,B,,27,0.0,460000,20160520.0,18.0,BLIGH ST,18,
103_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,165,,,,20160226.0,20160606 01:27,AK461395,103,27,WOLLONGONG,2500.0,,R,RESIDENCE,1138626.0,B,,33,0.0,510000,20160513.0,21.0,CHURCH ST,21,
103_SALES_DATA_NNME_06062016.DAT,20160606.csv,20160606,5,,,,20160404.0,20160606 01:27,AK468876,103,50,WOLLONGONG,2500.0,,R,RESIDENCE,1161463.0,B,,2,0.0,413250,20160520.0,24.0,KEIRA ST,24,
